employee_id,employee_name,department,role,base_salary,overtime_pay,bonus,deductions,net_pay,pay_period
1,Employee_1,Engineering,Data Analyst,3401,199,285,465,3420,2026-02
2,Employee_2,Finance,Accountant,6292,590,65,401,6546,2026-02
3,Employee_3,Engineering,DevOps Engineer,7371,283,319,375,7598,2026-02
4,Employee_4,HR,HR Specialist,6867,506,343,430,7286,2026-02
5,Employee_5,HR,HR Specialist,4813,1029,5,411,5436,2026-02
6,Employee_6,Finance,Accountant,6935,1298,358,392,8199,2026-02
7,Employee_7,Engineering,Data Analyst,3994,123,457,461,4113,2026-02
8,Employee_8,Marketing,Content Creator,6845,492,98,366,7069,2026-02
9,Employee_9,Finance,Finance Analyst,3168,297,139,313,3291,2026-02
10,Employee_10,Engineering,Software Engineer,4776,638,9,456,4967,2026-02
