employee_id,employee_name,department,role,base_salary,overtime_pay,bonus,deductions,net_pay,pay_period
1,Employee_1,HR,HR Specialist,4539,177,376,404,4688,2026-01
2,Employee_2,Sales,Account Manager,6389,780,2,337,6834,2026-01
3,Employee_3,Marketing,Marketing Specialist,5407,908,381,415,6281,2026-01
4,Employee_4,Sales,Account Manager,6495,968,476,397,7542,2026-01
5,Employee_5,Engineering,Software Engineer,5574,327,490,412,5979,2026-01
6,Employee_6,Marketing,Content Creator,7599,519,240,334,8024,2026-01
7,Employee_7,Engineering,Data Analyst,7671,899,107,327,8350,2026-01
8,Employee_8,HR,HR Specialist,7699,949,353,343,8658,2026-01
9,Employee_9,Marketing,Marketing Specialist,6195,773,127,311,6784,2026-01
10,Employee_10,Sales,Account Manager,7838,352,372,494,8068,2026-01
