employee_id,employee_name,department,role,base_salary,overtime_pay,bonus,deductions,net_pay,pay_period,gross_pay,calculated_net_pay,salary_change_pct,has_salary_change
1,Employee_1,HR,Hr Specialist,7988,357,237,361,8221,2026-01-01,8582,8221,0.0,False
2,Employee_2,Marketing,Marketing Specialist,5755,15,274,367,5677,2026-01-01,6044,5677,0.0,False
3,Employee_3,Marketing,Content Creator,7703,650,221,311,8263,2026-01-01,8574,8263,0.0,False
4,Employee_4,Sales,Account Manager,5705,102,137,360,5584,2026-01-01,5944,5584,0.0,False
5,Employee_5,HR,Hr Specialist,3130,345,487,335,3627,2026-01-01,3962,3627,0.0,False
6,Employee_6,Engineering,Data Analyst,4699,449,448,463,5133,2026-01-01,5596,5133,0.0,False
7,Employee_7,Finance,Finance Analyst,6487,976,30,320,7173,2026-01-01,7493,7173,0.0,False
8,Employee_8,HR,Hr Specialist,5841,655,490,391,6595,2026-01-01,6986,6595,0.0,False
9,Employee_9,Sales,Account Manager,3712,869,346,424,4503,2026-01-01,4927,4503,0.0,False
10,Employee_10,Marketing,Marketing Specialist,6100,924,243,500,6767,2026-01-01,7267,6767,0.0,False
